"10","Capital"
"11","Capital"
"12","Capital"
"13","Subvention"
"14","Provisions réglementées"
"15","Provisions"
"16","Dette"
"18","Comptes de liaison des établissements et société en participation"
"1011","Capital souscrit - non appelé "
"1012","Capital souscrit - appelé, non versé "
"105","Ecarts de réévaluation  Capital souscrit - appelé, versé"
"10131","Capital non amorti "
"10132","Capital amorti"
"1018","Capital souscrit soumis à des réglementations particulières "
"104","Primes liées au capital social "
"1041","Primes d'émission "
"1042","Primes de fusion "
"106","Réserves Primes d'apport "
"1044","Primes de conversion d'obligations en actions  "
"1045","Bons de souscription d'actions  "
"1051","Réserve spéciale de réévaluation  "
"1052","Ecart de réévaluation libre  "
"1053","Réserve de réévaluation  "
"1055","Ecarts de réévaluation (autres opérations légales)  "
"1057","Autres écarts de réévaluation en France  "
"1058","Autres écarts de réévaluation à l'étranger "
"1061","Réserve légale  "
"107","Ecart d'équivalence Plus-values nettes à long terme  "
"108","Compte de l'exploitant Réserves indisponibles "
"109"," Actionnaires : capital souscrit - non appelé  Réserves statutaires ou contractuelles  "
"1064","Réserves réglementées  "
"110","Report à nouveau (solde créditeur)  Plus-values nettes à long terme  "
"119"," Report à nouveau (solde débiteur)  Réserves consécutives à l'octroi de subventions d'investissement  "
"10648","Autres réserves réglementées  "
"120","Résultat de l'exercice (bénéfice)  Autres réserves "
"129"," Résultat de l'exercice (perte)  8Réserve de propre assureur  "
"10688","8Réserves diverses "
"131"," Subventions d'équipement Ecart d'équivalence "
"108","Compte de l'exploitant "
"109"," Actionnaires : capital souscrit - non appelé  "
"110","Report à nouveau (solde créditeur)  "
"119"," Report à nouveau (solde débiteur)  "
"120","Résultat de l'exercice (bénéfice)  "
"129"," Résultat de l'exercice (perte)  "
"138","Autres subventions d'investissement"
"139"," Subventions d'investissement inscrites au compte de résultat   Subventions d'équipement "
"1311"," Etat "
"1312"," Régions "
"1313"," Départements "
"1314"," Communes "
"1315"," Collectivités publiques  "
"1316"," Entreprises publiques "
"1317","Entreprises et organismes privés  "
"1318","Autres "
"1391"," Subventions d'équipement "
"142"," Provisions réglementées relatives aux immobilisations   Etat "
"13912"," Régions "
"13913"," Départements "
"143"," Provisions réglementées relatives aux stocks   Communes "
"13915"," Collectivités publiques  "
"13916"," Entreprises publiques "
"144"," Provisions réglementées relatives aux autres éléments de l'actif  Entreprises et organismes privés  "
"145"," Amortissements dérogatoires Autres "
"146"," Provision spéciale de réévaluation  Autres subventions d'investissement"
"147","Plus-values réinvesties  "
"148","Autres provisions réglementées   Provisions réglementées relatives aux immobilisations  "
"1423"," Provisions pour reconstitution des gisements miniers et pétroliers  "
